cohort	subject	modality	gene	reference_method	cluster_id	comparator	reference_correct	comparator_correct	delta	reference_callable	comparator_callable	comparator_status
1000G-development	HG00176	rnaseq	C	SimplePluralityLex	1000G-development:HG00176	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00177	rnaseq	A	SimplePluralityLex	1000G-development:HG00177	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00177	rnaseq	B	SimplePluralityLex	1000G-development:HG00177	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00177	rnaseq	C	SimplePluralityLex	1000G-development:HG00177	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00178	rnaseq	A	SimplePluralityLex	1000G-development:HG00178	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00178	rnaseq	B	SimplePluralityLex	1000G-development:HG00178	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00178	rnaseq	C	SimplePluralityLex	1000G-development:HG00178	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00179	rnaseq	A	SimplePluralityLex	1000G-development:HG00179	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00179	rnaseq	B	SimplePluralityLex	1000G-development:HG00179	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00179	rnaseq	C	SimplePluralityLex	1000G-development:HG00179	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00180	rnaseq	A	SimplePluralityLex	1000G-development:HG00180	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00180	rnaseq	B	SimplePluralityLex	1000G-development:HG00180	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00180	rnaseq	C	SimplePluralityLex	1000G-development:HG00180	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00181	rnaseq	A	SimplePluralityLex	1000G-development:HG00181	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00181	rnaseq	B	SimplePluralityLex	1000G-development:HG00181	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00181	rnaseq	C	SimplePluralityLex	1000G-development:HG00181	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00182	rnaseq	A	SimplePluralityLex	1000G-development:HG00182	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00182	rnaseq	B	SimplePluralityLex	1000G-development:HG00182	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00182	rnaseq	C	SimplePluralityLex	1000G-development:HG00182	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00183	rnaseq	A	SimplePluralityLex	1000G-development:HG00183	BestSingleTool_nestedCV	1	0	-1	1	1	callable
1000G-development	HG00183	rnaseq	B	SimplePluralityLex	1000G-development:HG00183	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00183	rnaseq	C	SimplePluralityLex	1000G-development:HG00183	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00185	rnaseq	A	SimplePluralityLex	1000G-development:HG00185	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00185	rnaseq	B	SimplePluralityLex	1000G-development:HG00185	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00185	rnaseq	C	SimplePluralityLex	1000G-development:HG00185	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00186	rnaseq	A	SimplePluralityLex	1000G-development:HG00186	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00186	rnaseq	B	SimplePluralityLex	1000G-development:HG00186	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00186	rnaseq	C	SimplePluralityLex	1000G-development:HG00186	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00187	rnaseq	A	SimplePluralityLex	1000G-development:HG00187	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00187	rnaseq	B	SimplePluralityLex	1000G-development:HG00187	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00187	rnaseq	C	SimplePluralityLex	1000G-development:HG00187	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00188	rnaseq	A	SimplePluralityLex	1000G-development:HG00188	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00188	rnaseq	B	SimplePluralityLex	1000G-development:HG00188	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00188	rnaseq	C	SimplePluralityLex	1000G-development:HG00188	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00189	rnaseq	A	SimplePluralityLex	1000G-development:HG00189	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00189	rnaseq	B	SimplePluralityLex	1000G-development:HG00189	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00189	rnaseq	C	SimplePluralityLex	1000G-development:HG00189	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00266	rnaseq	A	SimplePluralityLex	1000G-development:HG00266	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00266	rnaseq	B	SimplePluralityLex	1000G-development:HG00266	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00266	rnaseq	C	SimplePluralityLex	1000G-development:HG00266	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06984	rnaseq	A	SimplePluralityLex	1000G-development:NA06984	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06984	rnaseq	B	SimplePluralityLex	1000G-development:NA06984	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06984	rnaseq	C	SimplePluralityLex	1000G-development:NA06984	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06985	rnaseq	A	SimplePluralityLex	1000G-development:NA06985	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06985	rnaseq	B	SimplePluralityLex	1000G-development:NA06985	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06985	rnaseq	C	SimplePluralityLex	1000G-development:NA06985	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06986	rnaseq	A	SimplePluralityLex	1000G-development:NA06986	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06986	rnaseq	B	SimplePluralityLex	1000G-development:NA06986	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06986	rnaseq	C	SimplePluralityLex	1000G-development:NA06986	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06989	rnaseq	A	SimplePluralityLex	1000G-development:NA06989	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06989	rnaseq	B	SimplePluralityLex	1000G-development:NA06989	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06989	rnaseq	C	SimplePluralityLex	1000G-development:NA06989	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06994	rnaseq	A	SimplePluralityLex	1000G-development:NA06994	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06994	rnaseq	B	SimplePluralityLex	1000G-development:NA06994	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA06994	rnaseq	C	SimplePluralityLex	1000G-development:NA06994	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07000	rnaseq	A	SimplePluralityLex	1000G-development:NA07000	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	NA07000	rnaseq	B	SimplePluralityLex	1000G-development:NA07000	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	NA07000	rnaseq	C	SimplePluralityLex	1000G-development:NA07000	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	NA07037	rnaseq	A	SimplePluralityLex	1000G-development:NA07037	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07037	rnaseq	B	SimplePluralityLex	1000G-development:NA07037	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07037	rnaseq	C	SimplePluralityLex	1000G-development:NA07037	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07048	rnaseq	A	SimplePluralityLex	1000G-development:NA07048	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07048	rnaseq	B	SimplePluralityLex	1000G-development:NA07048	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07048	rnaseq	C	SimplePluralityLex	1000G-development:NA07048	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07051	rnaseq	A	SimplePluralityLex	1000G-development:NA07051	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07051	rnaseq	B	SimplePluralityLex	1000G-development:NA07051	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07051	rnaseq	C	SimplePluralityLex	1000G-development:NA07051	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07056	rnaseq	A	SimplePluralityLex	1000G-development:NA07056	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07056	rnaseq	B	SimplePluralityLex	1000G-development:NA07056	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07056	rnaseq	C	SimplePluralityLex	1000G-development:NA07056	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07347	rnaseq	A	SimplePluralityLex	1000G-development:NA07347	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07347	rnaseq	B	SimplePluralityLex	1000G-development:NA07347	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07347	rnaseq	C	SimplePluralityLex	1000G-development:NA07347	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07357	rnaseq	A	SimplePluralityLex	1000G-development:NA07357	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07357	rnaseq	B	SimplePluralityLex	1000G-development:NA07357	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA07357	rnaseq	C	SimplePluralityLex	1000G-development:NA07357	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA10847	rnaseq	A	SimplePluralityLex	1000G-development:NA10847	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA10847	rnaseq	B	SimplePluralityLex	1000G-development:NA10847	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA10847	rnaseq	C	SimplePluralityLex	1000G-development:NA10847	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	NA10851	rnaseq	A	SimplePluralityLex	1000G-development:NA10851	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA10851	rnaseq	B	SimplePluralityLex	1000G-development:NA10851	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA10851	rnaseq	C	SimplePluralityLex	1000G-development:NA10851	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11829	rnaseq	A	SimplePluralityLex	1000G-development:NA11829	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11829	rnaseq	B	SimplePluralityLex	1000G-development:NA11829	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11829	rnaseq	C	SimplePluralityLex	1000G-development:NA11829	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11830	rnaseq	A	SimplePluralityLex	1000G-development:NA11830	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11830	rnaseq	B	SimplePluralityLex	1000G-development:NA11830	BestSingleTool_nestedCV	1	0	-1	1	1	callable
1000G-development	NA11830	rnaseq	C	SimplePluralityLex	1000G-development:NA11830	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11831	rnaseq	A	SimplePluralityLex	1000G-development:NA11831	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11831	rnaseq	B	SimplePluralityLex	1000G-development:NA11831	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11831	rnaseq	C	SimplePluralityLex	1000G-development:NA11831	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11832	rnaseq	A	SimplePluralityLex	1000G-development:NA11832	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11832	rnaseq	B	SimplePluralityLex	1000G-development:NA11832	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	NA11832	rnaseq	C	SimplePluralityLex	1000G-development:NA11832	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11840	rnaseq	A	SimplePluralityLex	1000G-development:NA11840	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11840	rnaseq	B	SimplePluralityLex	1000G-development:NA11840	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	NA11840	rnaseq	C	SimplePluralityLex	1000G-development:NA11840	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11843	rnaseq	A	SimplePluralityLex	1000G-development:NA11843	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11843	rnaseq	B	SimplePluralityLex	1000G-development:NA11843	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11843	rnaseq	C	SimplePluralityLex	1000G-development:NA11843	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11894	rnaseq	A	SimplePluralityLex	1000G-development:NA11894	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11894	rnaseq	B	SimplePluralityLex	1000G-development:NA11894	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11894	rnaseq	C	SimplePluralityLex	1000G-development:NA11894	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11920	rnaseq	A	SimplePluralityLex	1000G-development:NA11920	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11920	rnaseq	B	SimplePluralityLex	1000G-development:NA11920	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA11920	rnaseq	C	SimplePluralityLex	1000G-development:NA11920	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12004	rnaseq	A	SimplePluralityLex	1000G-development:NA12004	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12004	rnaseq	B	SimplePluralityLex	1000G-development:NA12004	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12004	rnaseq	C	SimplePluralityLex	1000G-development:NA12004	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12044	rnaseq	A	SimplePluralityLex	1000G-development:NA12044	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12044	rnaseq	B	SimplePluralityLex	1000G-development:NA12044	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12044	rnaseq	C	SimplePluralityLex	1000G-development:NA12044	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12154	rnaseq	A	SimplePluralityLex	1000G-development:NA12154	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12154	rnaseq	B	SimplePluralityLex	1000G-development:NA12154	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12154	rnaseq	C	SimplePluralityLex	1000G-development:NA12154	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12234	rnaseq	A	SimplePluralityLex	1000G-development:NA12234	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12234	rnaseq	B	SimplePluralityLex	1000G-development:NA12234	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12234	rnaseq	C	SimplePluralityLex	1000G-development:NA12234	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12489	rnaseq	A	SimplePluralityLex	1000G-development:NA12489	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12489	rnaseq	B	SimplePluralityLex	1000G-development:NA12489	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12489	rnaseq	C	SimplePluralityLex	1000G-development:NA12489	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12751	rnaseq	A	SimplePluralityLex	1000G-development:NA12751	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12751	rnaseq	B	SimplePluralityLex	1000G-development:NA12751	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12751	rnaseq	C	SimplePluralityLex	1000G-development:NA12751	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12763	rnaseq	A	SimplePluralityLex	1000G-development:NA12763	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12763	rnaseq	B	SimplePluralityLex	1000G-development:NA12763	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12763	rnaseq	C	SimplePluralityLex	1000G-development:NA12763	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12775	rnaseq	A	SimplePluralityLex	1000G-development:NA12775	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12775	rnaseq	B	SimplePluralityLex	1000G-development:NA12775	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12775	rnaseq	C	SimplePluralityLex	1000G-development:NA12775	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12812	rnaseq	A	SimplePluralityLex	1000G-development:NA12812	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12812	rnaseq	B	SimplePluralityLex	1000G-development:NA12812	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA12812	rnaseq	C	SimplePluralityLex	1000G-development:NA12812	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18486	rnaseq	A	SimplePluralityLex	1000G-development:NA18486	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18486	rnaseq	B	SimplePluralityLex	1000G-development:NA18486	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18486	rnaseq	C	SimplePluralityLex	1000G-development:NA18486	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18488	rnaseq	A	SimplePluralityLex	1000G-development:NA18488	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18488	rnaseq	B	SimplePluralityLex	1000G-development:NA18488	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18488	rnaseq	C	SimplePluralityLex	1000G-development:NA18488	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18489	rnaseq	A	SimplePluralityLex	1000G-development:NA18489	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	NA18489	rnaseq	B	SimplePluralityLex	1000G-development:NA18489	BestSingleTool_nestedCV	1	1	0	1	1	callable
