figure_id	filename_stem	manuscript_role	manuscript_section	active	source_analysis	hub_script	original_script	arial_font	legend_outside	formats	last_updated	notes
FIMM-SCRNA	fig_scrna_concordance_heatmap	fimm_only	N/A	yes	pihla_local/fimm_results/fimm_hla_calls_deident.tsv	scripts/fig_fimm_concordance.py	bin/analyze_fimm_hla.py	yes	yes	pdf+svg+png	2026-06-03	Per-sample scRNA vs WES concordance heatmap. Regenerated 2026-06-03 with fig_fimm_concordance.py; Arial enforced.
FIMM-LOH	figure_fimm_loh_wes	fimm_only	N/A (exploratory / supplementary candidate)	yes	pihla_local/fimm_results/fimm_loh_candidates_wes_deident.tsv	scripts/fig_fimm_loh_wes.py	bin/analysis/analyze_fimm_loh_wes.py	yes	yes	pdf+svg+png	2026-06-03	LOH status stacked bar per HLA gene. WES exploratory (WGS confirmation needed). Regenerated 2026-06-03 with fig_fimm_loh_wes.py; Arial enforced.
Fig 11	figure_11_champion_challenger_combined	main	Methods/Results (Champion-Challenger)	yes	analysis/1000g_realdata/benchmark_wes_truthbacked/run (method_comparison + champion override sweep)	scripts/fig_champion_challenger.py	scripts/fig_champion_challenger.py	yes	yes	pdf+svg+png	2026-06-24	Explainer figure: CC mechanism (A) + MV-vs-CC contrast & WES override audit (B). Real numbers from WES sweep (OptiType 0.9231 / MV 0.9359 / ChampHLA 0.9487; 13 overrides 11/1/1). Default manuscript variant; 11a/11b are alternate layouts.
Fig 11a (alt)	figure_11a_cc_mechanism	main	Methods (Champion-Challenger)	no	analysis/1000g_realdata/benchmark_wes_truthbacked/run	scripts/fig_champion_challenger.py	scripts/fig_champion_challenger.py	yes	yes	pdf+svg+png	2026-06-24	Standalone CC mechanism schematic — candidate alternate layout (user to choose vs combined Fig 11).
Fig 11b (alt)	figure_11b_mv_vs_cc	main	Results (Champion-Challenger)	no	analysis/1000g_realdata/benchmark_wes_truthbacked/run	scripts/fig_champion_challenger.py	scripts/fig_champion_challenger.py	yes	yes	pdf+svg+png	2026-06-24	Standalone MV-vs-CC contrast + WES accuracy/override audit — candidate alternate layout.
Removed	figure_a1_guardrail_scatter	removed	N/A	no	WGS calibration tables	—	bin/generate_figures_analysis.py	partial	unknown	pdf+png	2026-06-01	Guardrail scatter — archived in legacy_pre_redesign_2026-06-01/. Superseded by Fig 4.
Removed	figure_a2_tool_ceiling	removed	N/A	no	WGS benchmark tables	—	bin/generate_figures_analysis.py	partial	unknown	pdf+png	2026-06-01	Tool ceiling plot — archived in legacy. Content merged into Fig 2.
Removed	figure_a3_weight_decomposition	removed	N/A	no	WGS weight tables	—	bin/generate_figures_analysis.py	partial	unknown	pdf+png	2026-06-01	Weight decomposition — archived. Content merged into Fig 7.
Removed	figure_a8_calibration_ci	removed	N/A	no	WGS calibration CI tables	—	bin/generate_figures_analysis.py	partial	unknown	pdf+png	2026-06-01	Calibration confidence intervals — archived. Content in Fig S2.
Removed	figure_a9_weight_sensitivity	removed	N/A	no	analysis/weight_sensitivity/	—	bin/generate_figures_analysis.py	partial	unknown	pdf+png	2026-06-01	Weight sensitivity analysis — archived. Future-work note in manuscript.
Removed	figure_f4_abstention_phasespace	removed	N/A	no	WGS/WES/RNA benchmark runs	—	bin/analysis/generate_supplementary_figures.py	partial	unknown	pdf+png	2026-06-01	Abstention phase-space — archived. Concept retained in Fig 5.
Removed	figure_f6_discordance_tags	removed	N/A	no	WGS discordance summaries	—	bin/analysis/generate_supplementary_figures.py	partial	unknown	pdf+png	2026-06-01	Discordance tag breakdown — archived. Merged into Fig 6.
Removed	figure_f7_sample_heatmap	removed	N/A	no	WGS per-sample results	—	bin/analysis/generate_supplementary_figures.py	partial	unknown	pdf+png	2026-06-01	Per-sample heatmap — archived (too granular for manuscript).
Removed	figure_loh_allele_dropout_heatmap	removed	N/A	no	analysis/loh_analysis/benchmark_homozygosity_error_summary.tsv	scripts/fig_loh_dropout_heatmap.py	bin/analysis/figure_loh_allele_dropout_heatmap.py	no	partial	pdf+png	2026-06-01	Benchmark LOH/allele-dropout heatmap (2-panel). Hub script exists. Removed from active set; may be reinstated as supplementary.
Removed	figure_per_gene_barplot	removed	N/A	no	pre-wave2 per-gene benchmark tables	—	bin/figure_per_gene_barplot.py	partial	unknown	pdf+png	2026-04-27	Pre-wave2 per-gene barplot — archived in legacy_pre_wave2/. Superseded by Fig 3.
Fig 12	figure_12_silver_truth_hprc	main	Results (silver-standard truth, §6)	yes	truth_bio_run (concordance_summary.tsv + calibration_summary.tsv)	scripts/fig_silver_truth.py	scripts/fig_silver_truth.py	yes	yes	pdf+svg+png	2026-06-26	Orthogonal silver-standard truth validation. (A) HPRC pangenome vs IPD-IMGT/HLA-allele Locityper DB, per-locus+overall concordance vs 1000G gold (HPRC 0.811 vs IMGT 0.461 at 30 samples; 0.944 vs 0.556 pilot). (B) GQ calibration: HPRC rises 0.811->0.905, IMGT flat/declining 0.461->0.432. Real numbers from truth_bio_run summaries via make_summaries.py.
Fig 13	figure_13_external_validation_nci60	main	Results (External validation, NCI-60, §8)	yes	analysis/nci60_benchmark + analysis/nci60_wes_benchmark (method_comparison, champion_challenger_*, sweeps/wes_champion_override_sweep)	scripts/fig_external_validation_nci60.py	scripts/fig_external_validation_nci60.py	yes	yes	pdf+svg+png	2026-06-27	NCI-60 non-1000G external validation. (A) RNA vs WES overall CC-vs-MV (Wilson CIs; RNA n=4 pilot->scale pending, WES n=42). (B) per-locus by modality. (C) WES override-gate at deployed support=0.35/margin=0.00 vs supporting-tools floor: tools>=1 (deployed) CC=0.842=MV (3 corrective/1 harmful/3 neutral); tools>=2 optimum 0.854 (3 corrective/0 harmful) > MV; tools>=3 = OptiType 0.817. NOTE: deployed WES policy is 0.35/0.00/1 (not the config's conservative 0.65/0.20/2). Data-driven; regenerate after RNA scale.
