issue_id	category	severity	status	evidence	root_cause	action	verification	blocker_type	owner	updated_utc
FIG-003	figures	medium	FIXED_VERIFIED	Local Matplotlib 3.7.5 and Pillow 10.4.0 were discovered and pinned as optional publication dependencies; DOCX generation uses only the standard library	The initial inventory missed available Python rendering modules and assumed a third-party DOCX dependency	Used the existing isolated-compatible stack, pinned versions, and implemented deterministic SVG/PDF/PNG and OOXML generation without installing packages	Repeated fixture generation is byte-identical and deterministic DOCX tests pass	dependency_setup	agent	2026-09-15T22:38:30Z
REPRO-001	reproducibility	high	IN_PROGRESS	Roihu Python 3.11.15 at commit 9b95de2: both pytest entrypoints passed 229 tests with 3 skips; local WSL default is Python 3.8.10 and the existing Windows venv is Python 3.13	Final verification requires supported local, Roihu, Ubuntu, and Windows evidence on one candidate commit	Create or select an isolated local Python 3.10/3.11 environment and refresh every attestation after final changes	Both pytest entrypoints plus complete verification pass on identical clean commit	none	agent	2026-09-15T10:33:48Z
REPRO-002	reproducibility	high	OPEN	artifacts/verification local/Roihu/Ubuntu/Windows attestations all cite commit 1b3209f while the active workflow commit is 9b95de2	Tracked attestations were not regenerated after transport-hardening changes	Regenerate every attestation from the exact candidate commit and tracked-tree hash	All four attestations cite one clean commit/tree and their referenced test jobs pass	none	agent	2026-09-15T10:22:00Z
REPRO-003	reproducibility	critical	FIXED_VERIFIED	The user explicitly authorized Roihu; the certificate-pair validator passed and read-only queries returned clean matching commit/tree plus terminal scheduler and immutable ledger/quarantine evidence	The earlier approval-service limit temporarily prevented authoritative remote observation	Archive the authorization boundary and continue without expanding it to submissions or mutations	Certificate pair passed; clean Roihu HEAD 9b95de2 and tree 22ea2f9 matched local; jobs 1332816-1332821 and failure evidence were observed	credential_or_tool_approval	user	2026-09-15T17:21:49Z
RELEASE-001	release	critical	OPEN	artifacts/release_readiness.json release_ready false	Scientific, manuscript, figure, archive, and clean-tree gates remain incomplete	Regenerate release readiness and verify a checksum-complete allow-listed archive from a temporary extraction	Every completion-contract item passes and GOAL_COMPLETION_REPORT.md is generated	approval_gated	shared	2026-09-15T10:16:07Z
RELEASE-002	release	high	OPEN	artifacts/release_freeze.json contains older README and artifact hashes and predates the current workflow	The tracked release freeze was not regenerated after subsequent commits	Keep it historical until the final allow-listed bundle is regenerated from the release candidate	Fresh release archive extracts and verifies with current hashes and no prohibited payloads	none	agent	2026-09-15T10:22:00Z
RELEASE-003	release	critical	FIXED_VERIFIED	The compact exporter now consumes a shared run-scoped path allow-list and immutable manifest instead of extension-only discovery	Extension-only selection could export truth-bearing, secret, or unreviewed compact files	Implemented path-aware candidate/allow/deny rules, content scans, immutable manifests, and verification	Regression fixtures prove allowed evidence exports and truth/secrets/unreviewed paths fail closed	none	agent	2026-09-15T22:38:30Z
RELEASE-004	release	critical	FIXED_VERIFIED	The repository freezer is Git-tracked-only, allow-listed, and detects prohibited ignored/untracked payloads, symlinks, secrets, and unsafe archive members	The previous recursive freezer could include ignored or untracked prohibited payloads	Implemented the reviewed shared allow-list, content/path scans, deterministic archive creation, and independent extraction verification	Eighteen release tests cover genomic payloads, secrets, containers, references, assemblies, work trees, symlinks, drift, traversal, and allowed artifacts	none	agent	2026-09-15T22:38:30Z
RELEASE-005	release	critical	FIXED_VERIFIED	configs/goal_completion_requirements.json and audit_goal_completion define twelve independent gates beyond staged benchmark readiness	The honest benchmark gate did not represent the larger completion contract	Added a separate full-goal schema/auditor for independent modalities, firewalls, statistics, issues, tests, claims, figures, submission, reviews, archive, and clean state	Deliberately incomplete fixtures fail every omitted gate and independent donor minima/firewall lanes are preserved	none	agent	2026-09-15T22:38:30Z
HUMAN-001	provenance	critical	OPEN	decisions/20260908_consensus_primary_amendment.json status UNSIGNED_AWAITING_AUTHOR	Automation cannot sign a retrospective scientific amendment	After WF-002 passes, request author name, UTC signature, and committed amendment	Status SIGNED_BY_AUTHOR with nonempty signed_by and signed_at_utc before capacity/production	human_signature	author	2026-09-15T10:16:07Z
HUMAN-002	provenance	critical	OPEN	WGS 50-record production review packet does not yet exist	A named reviewer must inspect native-output/parser evidence after production	Generate the packet after DATA-001, then request named approval	All 50 records approved with reviewer identity and UTC timestamp	human_review	author_or_reviewer	2026-09-15T10:16:07Z
HUMAN-003	manuscript	high	BLOCKED_HUMAN	Required author contributions, funding, acknowledgements, conflicts, and ethics wording are not supplied	These declarations concern human authorship and cannot be invented	Prepare a consolidated declaration request after the evidence-backed draft stabilizes	All required declarations supplied and verified in Markdown and DOCX	human_metadata	author	2026-09-15T10:16:07Z
